|   PreviousLap |   TireAge |   Driver_ALB |   Driver_ALO |   Driver_BOT |   Driver_DEV |   Driver_GAS |   Driver_HAM |   Driver_HUL |   Driver_LAT |   Driver_LEC |   Driver_MAG |   Driver_MSC |   Driver_NOR |   Driver_OCO |   Driver_PER |   Driver_PIA |   Driver_RIC |   Driver_RUS |   Driver_SAI |   Driver_SAR |   Driver_STR |   Driver_TSU |   Driver_VER |   Driver_ZHO |   Weather_Dry |
|    -0.673219  |  0.848797 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     1.53153   |  1.46254  |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.686634  | -0.99244  |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.163346  | -0.99244  |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     0.789494  | -0.378694 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.715323  |  3.30378  |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.650673  | -0.378694 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     1.30692   | -0.99244  |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.709912  | -0.378694 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     1.31013   |  0.235052 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.697794  |  1.46254  |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.713407  | -0.378694 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.711829  | -0.99244  |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     0.272407  | -0.378694 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.742378  |  0.235052 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.681561  | -0.378694 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     1.15564   |  0.235052 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     0.156184  |  0.848797 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     0.896136  |  1.46254  |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.693116  | -0.99244  |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     0.0525857 | -0.378694 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.724116  |  1.46254  |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.731613  | -0.99244  |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.736911  | -0.99244  |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.684492  | -0.378694 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     1.41565   |  0.235052 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.69554   |  0.848797 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     0.988574  |  1.46254  |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.709743  | -0.99244  |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.718762  | -0.378694 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     0.62863   | -0.99244  |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.238255  | -0.378694 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.725469  | -0.99244  |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.717634  | -0.378694 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     1.01625   |  0.235052 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.737024  |  0.848797 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     1.98036   |  1.46254  |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.655521  | -0.378694 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     2.25243   |  0.235052 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|    -0.69802   |  0.848797 |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
|     1.63366   | -0.99244  |            0 |            0 |            0 |            0 |            1 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |            0 |             1 |
